ngo_name,unique_id,registered_with,type_of_ngo,registration_number,copy_of_registration_certificate,copy_of_pan_card,act_name,city_of_registration,state_of_registration,registration_date,key_issues,operational_areas_states,operational_areas_districts,FCRA_details,FCRA_registration_num,details_of_achievement,contact_details_address,contact_details_city,contact_details_state,contact_details_telephone,contact_details_website,contact_details_email,members_names_designations,members_names_pan_availability,members_names_aadhar_availability,source_of_funds_amount_sanctioned,source_of_funds_department_name,source_of_funds_source,source_of_funds_purpose,sector_number,ngo_num,page_num,page_num_total
Young Bodhisatya Society (YBS India),UP/2020/0264715,Registrar of Societies,Registered Societies (Non-Government),I-145882,Available,Available,"Act 21, 1860",Lucknow,UTTAR PRADESH,01-06-2006,"Agriculture,Art &amp; Culture,Dalit Upliftment,Education &amp; Literacy,Environment &amp; Forests,Any Other",UTTAR PRADESH,"UTTAR PRADESH-&gt;Lucknow, Shrawasti",Not Available,Not Available,"Nunnery Training Centre, Promotion of Buddhist Culture, Social awareness,    ","Reg. office- Jetwan E-367 Sector I LDA Colony Kanpur Road Lucknow
Camp office- Mahaprajapati Gautami Bhikkhuni Training Centre, Vaishali Nagar Gumadapur, Shravasti ",Lucknow,UTTAR PRADESH,Not Available,Not Available,devendra[dot]bhante(at)gmail.com,"{' Devendra Nath Chaudhary ': 'President', ' Akhilesh Kumar ': 'Treasurer', ' Gautam Jayant': 'Joint Secretary'}","{' Devendra Nath Chaudhary ': 'Available', ' Akhilesh Kumar ': 'Available', ' Gautam Jayant': 'Available'}","{' Devendra Nath Chaudhary ': 'Available', ' Akhilesh Kumar ': 'Available', ' Gautam Jayant': 'Available'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Any Other', '2018-2019': 'Any Other', '2019-2020': 'Any Other', '2020-2021': 'Any Other'}","{'2017-2018': 'Funds Received from Donors , spotters and subscriptions.  which was used for  activities of society.   ', '2018-2019': 'fund received from Donors, Subscriptions and supporters    ', '2019-2020': 'finds received from Donors and subscriptions   ', '2020-2021': 'fund received from Donors and subscriptions and supporters '}",34,0,195,100
YOUNG GENIUS TALENT SOCIETY,UP/2020/0253090,Registrar of Societies,Registered Societies (Non-Government),188,Available,Available,1860,Azamgarh,UTTAR PRADESH,14-06-2013,"Agriculture,Animal Husbandry, Dairying  &amp;  Fisheries,Art &amp; Culture,Children,Civic Issues,Differently Abled,Drinking Water,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,Human Rights,Information &amp; Communication Technology,Labour &amp; Employment,Panchayati Raj,Right to Information &amp; Advocacy,Science &amp; Technology,Sports,Tourism,Tribal Affairs,Vocational Training,Water Resources,Women's Development &amp; Empowerment,Youth Affairs",UTTAR PRADESH,UTTAR PRADESH-&gt;Azamgarh,Not Available,Not Available,Abhi koi bhi Achievements nahi hai ,"Mohalla- Sri Gandhi AshramMau RoadSidhariPost- Sadar
Tahsil- Sadar
",Azamgarh,UTTAR PRADESH,Not Available,Not Available,YOUNGGENIUSTALENTGROUP(at)GMAIL[dot]COM,"{' Ravindra Kumar Srivastav': 'Chairman', ' Mithilesh Kumar Srivastav': 'President', ' Aradhana Srivastava': 'Member'}","{' Ravindra Kumar Srivastav': 'Available', ' Mithilesh Kumar Srivastav': 'Available', ' Aradhana Srivastava': 'Available'}","{' Ravindra Kumar Srivastav': 'Available', ' Mithilesh Kumar Srivastav': 'Available', ' Aradhana Srivastava': 'Available'}","{'2018-2019': 'Not Specified', '2017-2018': 'Not Specified', '2016-2017': 'Not Specified', '2015-2016': 'Not Specified'}","{'2018-2019': 'Not Specified', '2017-2018': 'Not Specified', '2016-2017': 'Not Specified', '2015-2016': 'Not Specified'}","{'2018-2019': 'Any Other', '2017-2018': 'Any Other', '2016-2017': 'Any Other', '2015-2016': 'Any Other'}","{'2018-2019': 'Abhi kahi sebhi fund nahi mila hai', '2017-2018': 'Abhi kahi se bhi koi fund nahi mila hai', '2016-2017': 'Abhi kahi se bhi koi fund nahi mila hai', '2015-2016': 'Abhi kahi se bhi koi fund mila nahi hai'}",34,1,195,100
YOUNG INDIA INNOVATION FOUNDATION,UP/2021/0284359,Registrar of Companies,Private Sector Companies (Sec 8/25), U80900UP2021NPL142883.,Available,Available,SECTION 8,MORADABAD,UTTAR PRADESH,05-03-2021,"Dalit Upliftment,Disaster Management,Drinking Water,Education &amp; Literacy,Environment &amp; Forests,Food Processing,Health &amp; Family Welfare,HIV/AIDS,Information &amp; Communication Technology,Land Resources,Legal Awareness &amp; Aid,Micro Small &amp; Medium Enterprises,New &amp; Renewable Energy,Panchayati Raj,Right to Information &amp; Advocacy,Rural Development &amp; Poverty Alleviation,Tourism,Youth Affairs,Skill Development",UTTAR PRADESH,UTTAR PRADESH-&gt;Moradabad,Not Available,Not Available,As we started new organization so we are on our way to bring some social changes with our ngo,KAJI KI SARAI NEAR SHIV MANDIR MORADABAD,MORADABAD,UTTAR PRADESH,Not Available,Not Available,yiifoundation07(at)gmail[dot]com,"{' SHANI CHOUDHARY': 'Chairman', ' NISHU CHOUDHARY ': 'Treasurer', ' abhinav kaushik': 'President'}","{' SHANI CHOUDHARY': 'Available', ' NISHU CHOUDHARY ': 'Available', ' abhinav kaushik': 'Available'}","{' SHANI CHOUDHARY': 'Available', ' NISHU CHOUDHARY ': 'Available', ' abhinav kaushik': 'Available'}","{'2020-2021': 'Not Specified', '2021-2022': 'Not Specified'}","{'2020-2021': 'Not Specified', '2021-2022': 'Not Specified'}","{'2020-2021': 'Any Other', '2021-2022': 'Any Other'}","{'2020-2021': 'NO FUND SANCTIONED TILL YET ', '2021-2022': 'NO FUND SANTIONED TILL YET '}",34,2,195,100
young literate society,UP/2017/0159065,Registrar of Societies,Registered Societies (Non-Government),1-177170,Available,Available,1860,TAMBOUR,UTTAR PRADESH,07-08-2015,Education &amp; Literacy,UTTAR PRADESH,UTTAR PRADESH-&gt;Sitapur,Not Available,Not Available,EDUCATION DEVELOPMENT PROGRAM CHILD DISEASE AGRICULTURE DEVELOPMENT PROGRAM,MOHALLA NAWAB SAHAB PURWA TOWN TAMBOUR,TAMBOUR,UTTAR PRADESH,Not Available,Not Available,shadabahmadhashmi(at)gmail[dot]com,"{' HINA PARVEEN': 'Treasurer', ' SHADAB AHMAD': 'Vice President', ' HASHIM': 'Member'}","{' HINA PARVEEN': 'Available', ' SHADAB AHMAD': 'Available', ' HASHIM': 'Available'}","{' HINA PARVEEN': 'Available', ' SHADAB AHMAD': 'Available', ' HASHIM': 'Available'}","{'2015-2016': 'Not Specified', '2016-2017': 'Not Specified'}","{'2015-2016': 'Not Specified', '2016-2017': 'Not Specified'}","{'2015-2016': 'Any Other', '2016-2017': 'Any Other'}","{'2015-2016': 'THERE NO RECEIVED ANY FUND FOR BUILDING ', '2016-2017': '3 LAC FOR BUILDING CONSTRUCTION '}",34,3,195,100
YOUNG YOUTH AND WOMEN DEVELOPMENT SOCIETY,UP/2017/0160256,Registrar of Societies,Registered Societies (Non-Government),397,Available,Available,1860,kanpur  Nagar,UTTAR PRADESH,24-07-2015,Rural Development &amp; Poverty Alleviation,UTTAR PRADESH,UTTAR PRADESH-&gt;Kanpur Nagar,Not Available,Not Available,Not Available,9-C HANUMANT VIHAR NAOBASTA KANPUR NAGARUTTAR PRADESH,kanpur  Nagar,UTTAR PRADESH,Not Available,Not Available,youngyouth[dot]knp.ngo(at)gmail.com,"{' ANKIT AGNIHOTRI': 'Secretary', ' VISHNU AGNIHOTRI': 'President', ' DAYA SHANKER PANDEY': 'Treasurer'}","{' ANKIT AGNIHOTRI': 'Available', ' VISHNU AGNIHOTRI': 'Available', ' DAYA SHANKER PANDEY': 'Available'}","{' ANKIT AGNIHOTRI': 'Available', ' VISHNU AGNIHOTRI': 'Available', ' DAYA SHANKER PANDEY': 'Available'}","{'2015-2016': 'Not Specified', '2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2015-2016': 'Not Specified', '2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2015-2016': 'Any Other', '2016-2017': 'Any Other', '2017-2018': 'Any Other'}","{'2015-2016': 'ALL MEMBER INVEST MONEY GANARLY SOCAIL WORK , POOR PEOPLE \nHELP AND POOR WOMENS PRAMOTED, POOR STUDENT COMPUTERS TRAINING ETC.', '2016-2017': 'ALL MEMBERS CONTRIBUTE THE AMOUNT \nTHAN PRESSED NGO SOCIAL WORK AND ALL POOR PEOPLE  HELP    ', '2017-2018': 'ALL MEMBERS CONTRIBUTE THE AMOUNT \nTHAN PRESSED NGO SOCIAL WORK AND ALL POOR PEOPLE  HELP    '}",34,4,195,100
Younker Historical Research Foundation,UP/2018/0183704,Registrar of Societies,Registered Societies (Non-Government),45-2014-2015,Available,Available,"21,1860",HAPUR,UTTAR PRADESH,16-04-2014,"Agriculture,Animal Husbandry, Dairying  &amp;  Fisheries,Art &amp; Culture,Biotechnology,Children,Civic Issues,Differently Abled,Disaster Management,Education &amp; Literacy,Environment &amp; Forests,Food Processing,Health &amp; Family Welfare,HIV/AIDS,Human Rights,Labour &amp; Employment,Minority Issues,Right to Information &amp; Advocacy,Rural Development &amp; Poverty Alleviation,Science &amp; Technology,Scientific &amp; Industrial Research,Urban Development &amp; Poverty Alleviation,Women's Development &amp; Empowerment,Youth Affairs","UTTAR PRADESH, UTTARAKHAND","UTTAR PRADESH-&gt;Muzaffarnagar, Moradabad, Ghaziabad, Bulandshahr , Noida, Hapur, UTTARAKHAND-&gt;Uttarkashi, Chamoli, Rudraprayag, Tehri Garhwal, Dehradun, Garhwal, Almora
, Udham Singh Nagar, Hardwar",Not Available,Not Available,Not Available,"GANGA PURA OLD MEERUT ROAD HAPUR-OFFICE UTTARAKHAND-AE-23 TONS COLONY DAKPATHAR, DEHRADUN",HAPUR,UTTAR PRADESH,Not Available,Not Available,heerohito(at)gmail[dot]com,"{' HEERO HITO VENERABLE': 'Chairman', ' POOJA': 'Treasurer', ' ASHOK KUMAR GAUTAM': 'Secretary'}","{' HEERO HITO VENERABLE': 'Available', ' POOJA': 'Available', ' ASHOK KUMAR GAUTAM': 'Available'}","{' HEERO HITO VENERABLE': 'Available', ' POOJA': 'Available', ' ASHOK KUMAR GAUTAM': 'Available'}","{'2014-2015': 'Not Specified', '2015-2016': 'Not Specified', '2016-2017': 'Not Specified'}","{'2014-2015': 'Not Specified', '2015-2016': 'Not Specified', '2016-2017': 'Not Specified'}","{'2014-2015': 'Any Other', '2015-2016': 'Any Other', '2016-2017': 'Any Other'}","{'2014-2015': 'GRANT NOT TAKEN NILL', '2015-2016': 'GRANT NOT TAKEN NILL', '2016-2017': 'GRANT NOT TAKEN NILL'}",34,5,195,100
YOUTH ACTION COMMITTEE (YAC) TRUST,UP/2021/0286710,Any Other,Trust (Non-Government),42/11-06-2021,Available,Available,1882,HAPUR,UTTAR PRADESH,11-06-2021,"Art &amp; Culture,Children,Dalit Upliftment,Education &amp; Literacy,Rural Development &amp; Poverty Alleviation,Women's Development &amp; Empowerment,Youth Affairs,Skill Development,Health &amp; Family Welfare","CHANDIGARH, DELHI, HARYANA, HIMACHAL PRADESH, LADAKH, UTTAR PRADESH, UTTARAKHAND","CHANDIGARH-&gt;Chandigarh, DELHI-&gt;New Delhi, HARYANA-&gt;Gurgaon, HIMACHAL PRADESH-&gt;Kangra, LADAKH-&gt;Leh(Ladakh), UTTAR PRADESH-&gt;Meerut, Ghaziabad, Noida, Hapur, UTTARAKHAND-&gt;Dehradun, Udham Singh Nagar",Not Available,Not Available,We are Working on Youth Development.,"YAC Trust B-1,2 Buddha Lok, Meerut Road Hapur",HAPUR,UTTAR PRADESH,Not Available,Not Available,YACTRUST2021(at)GMAIL[dot]COM,"{' Aki Hito ': 'President', ' Anuj Kumar ': 'Secretary', ' Renu Khampa': 'Treasurer'}","{' Aki Hito ': 'Available', ' Anuj Kumar ': 'Available', ' Renu Khampa': 'Available'}","{' Aki Hito ': 'Available', ' Anuj Kumar ': 'Available', ' Renu Khampa': 'Available'}",{'2021-2022': 'Not Specified'},{'2021-2022': 'Not Specified'},{'2021-2022': 'Any Other'},{'2021-2022': 'Not Applicable '},34,6,195,100
YOUTH CHARITABLE TRUST,UP/2018/0221440,Sub-Registrar,Trust (Non-Government),Reg/newdelhi/753,Available,Available,1882,shuklaganj,UTTAR PRADESH,24-10-2016,"Agriculture,Animal Husbandry, Dairying  &amp;  Fisheries,Art &amp; Culture,Dalit Upliftment,Differently Abled,Drinking Water,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,HIV/AIDS,Labour &amp; Employment,Panchayati Raj,Rural Development &amp; Poverty Alleviation,Urban Development &amp; Poverty Alleviation,Women's Development &amp; Empowerment,Youth Affairs",UTTAR PRADESH,"UTTAR PRADESH-&gt;Unnao, Lucknow, Rae Bareli, Kannauj, Kanpur Dehat, Kanpur Nagar",Not Available,Not Available,Not Available,"Ambikapuram Rajdhani Marg,Unnao,Shuklaganj,UP-209861",shuklaganj,UTTAR PRADESH,Not Available,Not Available,yct753(at)gmail[dot]com,"{' Abhishek trivedi': 'President', ' sharad kumar': 'Secretary', ' SONY BHARTI': 'Treasurer', ' SARVESH AWASTHI': 'Member', ' MANISH SAVITA ': 'Member', ' AMIT TRIVEDI': 'Legal Expert'}","{' Abhishek trivedi': 'Available', ' sharad kumar': 'Available', ' SONY BHARTI': 'Available', ' SARVESH AWASTHI': 'Available', ' MANISH SAVITA ': 'Available', ' AMIT TRIVEDI': 'Available'}","{' Abhishek trivedi': 'Available', ' sharad kumar': 'Available', ' SONY BHARTI': 'Available', ' SARVESH AWASTHI': 'Available', ' MANISH SAVITA ': 'Available', ' AMIT TRIVEDI': 'Available'}","{'2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2016-2017': 'Any Other', '2017-2018': 'Any Other'}","{'2016-2017': 'No Fund Received', '2017-2018': 'No Fund Received'}",34,7,195,100
YOUTH DEVLOPMENT SOCIETY ,UP/2020/0270595,Registrar of Societies,Registered Societies (Non-Government),1512,Available,Available,21 NO 1860,LUCKNOW ,UTTAR PRADESH,16-11-1996,"Agriculture,Animal Husbandry, Dairying  &amp;  Fisheries,Art &amp; Culture,Biotechnology,Children,Civic Issues,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,Legal Awareness &amp; Aid,Rural Development &amp; Poverty Alleviation,Science &amp; Technology,Scientific &amp; Industrial Research,Vocational Training,Women's Development &amp; Empowerment,Any Other",UTTAR PRADESH,UTTAR PRADESH-&gt;Kheri,Not Available,Not Available,"Agriculture,  Animal Husbandry, Dairying ","RAM NAGAR COLONY BEHIND P.K.INTER COLLEGE LAKHIMPUR, KHERI UTTAR PRADESH-262701",LUCKNOW ,UTTAR PRADESH,Not Available,Not Available,youthdevlopmentsociety01(at)gmail[dot]com,"{' Sanjay Kumar Verma ': 'President', ' RAMPAL': 'General Secretary', ' Pushpendra Singh': 'Treasurer'}","{' Sanjay Kumar Verma ': 'Available', ' RAMPAL': 'Available', ' Pushpendra Singh': 'Available'}","{' Sanjay Kumar Verma ': 'Available', ' RAMPAL': 'Available', ' Pushpendra Singh': 'Available'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Any Other', '2018-2019': 'Any Other', '2019-2020': 'Any Other', '2020-2021': 'Any Other'}","{'2017-2018': 'Need Fund ', '2018-2019': 'need fund for society activity', '2019-2020': 'need fund for social activity ', '2020-2021': 'need fund for our organization '}",34,8,195,100
Youth Education and Empowerment Foundation,UP/2019/0224007,Sub-Registrar,Trust (Non-Government),01/2019,Available,Available,Indian Trust Act 1882,Itwa,UTTAR PRADESH,04-01-2019,"Agriculture,Animal Husbandry, Dairying  &amp;  Fisheries,Art &amp; Culture,Children,Education &amp; Literacy,Health &amp; Family Welfare,Information &amp; Communication Technology,Legal Awareness &amp; Aid,Micro Small &amp; Medium Enterprises,Minority Issues,Panchayati Raj,Rural Development &amp; Poverty Alleviation,Science &amp; Technology,Scientific &amp; Industrial Research,Sports,Urban Development &amp; Poverty Alleviation,Vocational Training,Water Resources,Women's Development &amp; Empowerment,Youth Affairs","MAHARASHTRA, UTTAR PRADESH","MAHARASHTRA-&gt;Thane, Mumbai, UTTAR PRADESH-&gt;Lucknow, Prayagraj, Faizabad, Balrampur, Gonda, Siddharthnagar, Basti, Sant Kabir Nagar, Gorakhpur, Jaunpur, Varanasi, Mirzapur",Not Available,Not Available,Running Educational Institutes,"C/O Ahsan Jameel, YSDM Educational Complex, Itwa-Barhni Road",Itwa,UTTAR PRADESH,Not Available,http://www.youthfoundationindia.com,jameelkhan3490(at)gmail[dot]com,"{' AHSAN JAMEEL': 'President', ' ARSHAD JAMEEL': 'Secretary', ' ASHRAF JAMEEL': 'Treasurer'}","{' AHSAN JAMEEL': 'Available', ' ARSHAD JAMEEL': 'Available', ' ASHRAF JAMEEL': 'Available'}","{' AHSAN JAMEEL': 'Available', ' ARSHAD JAMEEL': 'Available', ' ASHRAF JAMEEL': 'Available'}","{'2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2018-2019': 'Any Other', '2019-2020': 'Any Other', '2020-2021': 'Any Other'}","{'2018-2019': 'FUND ONLY COLLECTED BY MEMBERS', '2019-2020': 'Never grant any government fund till date. We are working on COVID-19 as voluntary basis.', '2020-2021': 'I.T. Training and Skill Development in Rural Area.'}",34,9,195,100
