ngo_name,unique_id,registered_with,type_of_ngo,registration_number,copy_of_registration_certificate,copy_of_pan_card,act_name,city_of_registration,state_of_registration,registration_date,key_issues,operational_areas_states,operational_areas_districts,FCRA_details,FCRA_registration_num,details_of_achievement,contact_details_address,contact_details_city,contact_details_state,contact_details_telephone,contact_details_website,contact_details_email,members_names_designations,members_names_pan_availability,members_names_aadhar_availability,source_of_funds_amount_sanctioned,source_of_funds_department_name,source_of_funds_source,source_of_funds_purpose,sector_number,ngo_num,page_num,page_num_total
World Press Organisation,UP/2021/0281602,Registrar of Societies,Registered Societies (Non-Government),KAP/05283/2020-2021,Available,Available,"21,1860",KANPUR,UTTAR PRADESH,04-11-2020,"Skill Development,Human Rights,Art &amp; Culture,Civic Issues,Housing,Labour &amp; Employment,Panchayati Raj,Right to Information &amp; Advocacy,Science &amp; Technology,Youth Affairs",UTTAR PRADESH,UTTAR PRADESH-&gt;Kanpur Nagar,Not Available,Not Available,"education, health institude and training centre",LIG 21 jaruli phase 1,KANPUR,UTTAR PRADESH,Not Available,Not Available,www[dot]wpo.org.in(at)gmail.com,"{' ANIL KUMAR SONI': 'Member', ' HIMANSHU GUPTA': 'Member', ' GYANENDRA KUMAR': 'Member'}","{' ANIL KUMAR SONI': 'Available', ' HIMANSHU GUPTA': 'Available', ' GYANENDRA KUMAR': 'Available'}","{' ANIL KUMAR SONI': 'Available', ' HIMANSHU GUPTA': 'Available', ' GYANENDRA KUMAR': 'Available'}",{'2020-2021': 'Not Specified'},{'2020-2021': 'Not Specified'},{'2020-2021': 'Any Other'},{'2020-2021': 'public contribution'},34,0,194,100
World Social Service Organisation,UP/2010/0033253,Sub-Registrar,Trust (Non-Government),6/04,Available,Available,Not Available,Lucknow,UTTAR PRADESH,04-01-2008,"Agriculture,Dalit Upliftment,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,HIV/AIDS,Legal Awareness &amp; Aid,Micro Finance (SHGs),Rural Development &amp; Poverty Alleviation,Urban Development &amp; Poverty Alleviation,Vocational Training,Women's Development &amp; Empowerment",Not Available,Not Available,Available,No,"Yoga and Naturopathy , Women Rights, Child Labour, Environment and Plantation , Bio Tech. Prog, Investor Awareness Prog.","12/288, Indira Nagar, Lucknow",Lucknow,UTTAR PRADESH,00000-000000,Not Available,wssorg(at)gmail[dot]com,"{' ADITYA SINGH': 'Chairman', ' VIBHA SINGH': 'Trustee', ' RISHI KUMAR SINGH': 'Trustee'}","{' ADITYA SINGH': 'Available', ' VIBHA SINGH': 'Available', ' RISHI KUMAR SINGH': 'Available'}","{' ADITYA SINGH': 'Available', ' VIBHA SINGH': 'Available', ' RISHI KUMAR SINGH': 'Available'}",{},{},{},{},34,1,194,100
WORLD SPORTS And CULTURE  DEVELOPMENT  FOUNDATION,UP/2018/0199673,Sub-Registrar,Trust (Non-Government),4207,Available,Available,TRUST ACT 1882,INDRAPURAM,UTTAR PRADESH,15-09-2017,"Agriculture,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,Sports,Tourism,Youth Affairs,Any Other","PUNJAB, UTTAR PRADESH","PUNJAB-&gt;Jalandhar, UTTAR PRADESH-&gt;Ghaziabad",Not Available,Not Available,ALL TYPE SPORTS EDUCATION HEALTH ETC,"376 G, NYAYKHAND PRATHAM INDRAPURAM",INDRAPURAM,UTTAR PRADESH,Not Available,Not Available,princesandhusaab7(at)gmail[dot]com,"{' HARNEET KAUR MALL': 'General Secretary', ' SATINDER SANDHU': 'Chairman', ' RESHAM SINGH': 'Trustee'}","{' HARNEET KAUR MALL': 'Available', ' SATINDER SANDHU': 'Available', ' RESHAM SINGH': 'Available'}","{' HARNEET KAUR MALL': 'Available', ' SATINDER SANDHU': 'Available', ' RESHAM SINGH': 'Available'}",{'2017-2018': 'Not Specified'},{'2017-2018': 'Not Specified'},{'2017-2018': 'Any Other'},{'2017-2018': 'FOR PRIVATE WORK'},34,2,194,100
WORLD VISION FOUNDATION,UP/2019/0242769,Sub-Registrar,Trust (Non-Government),271/316,Available,Available,1882,Maharajganj,UTTAR PRADESH,07-04-2014,Not Available,Not Available,Not Available,Not Available,Not Available,awarded by state government,"Villagethutibaari, Po. Thuthibaari, JanpathMaharajganj UP",Maharajganj,UTTAR PRADESH,Not Available,Not Available,akfrnd007(at)gmail[dot]com,"{' ASHOK KUMAR GUPTA': 'President', ' MENKA GUPTA': 'Secretary', ' SANTOSH KUMAR GUPTA': 'Treasurer'}","{' ASHOK KUMAR GUPTA': 'Available', ' MENKA GUPTA': 'Available', ' SANTOSH KUMAR GUPTA': 'Available'}","{' ASHOK KUMAR GUPTA': 'Available', ' MENKA GUPTA': 'Available', ' SANTOSH KUMAR GUPTA': 'Available'}","{'2016-2017': 'Not Specified', '2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified'}","{'2016-2017': 'Not Specified', '2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified'}","{'2016-2017': 'Any Other', '2017-2018': 'Any Other', '2018-2019': 'Any Other', '2019-2020': 'Any Other'}","{'2016-2017': 'need grant', '2017-2018': 'need grant', '2018-2019': 'need grant', '2019-2020': 'need grant'}",34,3,194,100
World Welfare and Research Institute,UP/2016/0098962,Registrar of Societies,Registered Societies (Non-Government),1720,Available,Available,21,Lucknow,UTTAR PRADESH,28-11-1987,Art &amp; Culture,UTTAR PRADESH,UTTAR PRADESH-&gt;Lucknow,Not Available,Not Available,Work has been done by the organization for the upliftment of livelihood of handicrafts artisans,"1/248(1/002), 1st Floor, BL Yadav Lane, Near- Brij Jyoti Public School, New Colony, Ziyamau, Hazratganj, Lucknow",Lucknow,UTTAR PRADESH,9415-534129,Not Available,wwrilko1987(at)gmail[dot]com,"{' Shanti Devi': 'Member', ' Shailendra Pratap': 'Member', ' Jitendra Kumar Pandey': 'Member', ' Raj Kumar Pandey': 'President', ' Prabhakar Dutt': 'Treasurer', ' Neelam Pandey': 'Member', ' Shailendra Kumar Mishra': 'Secretary'}","{' Shanti Devi': 'Available', ' Shailendra Pratap': 'Available', ' Jitendra Kumar Pandey': 'Available', ' Raj Kumar Pandey': 'Available', ' Prabhakar Dutt': 'Available', ' Neelam Pandey': 'Available', ' Shailendra Kumar Mishra': 'Available'}","{' Shanti Devi': 'Available', ' Shailendra Pratap': 'Available', ' Jitendra Kumar Pandey': 'Available', ' Raj Kumar Pandey': 'Available', ' Prabhakar Dutt': 'Available', ' Neelam Pandey': 'Available', ' Shailendra Kumar Mishra': 'Available'}","{'2013-2014': 'Not Specified', '2014-2015': 'Not Specified', '2015-2016': 'Not Specified', '2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2013-2014': 'Not Specified', '2014-2015': 'Not Specified', '2015-2016': 'Not Specified', '2016-2017': 'Not Specified', '2017-2018': 'Not Specified'}","{'2013-2014': 'Any Other', '2014-2015': 'Any Other', '2015-2016': 'Any Other', '2016-2017': 'Any Other', '2017-2018': 'Any Other'}","{'2013-2014': 'Not Applicable', '2014-2015': 'Not Applicable', '2015-2016': 'Not Applicable', '2016-2017': 'Not Applicable', '2017-2018': 'Not Applicable'}",34,4,194,100
World Welfare Organization,UP/2013/0063894,Registrar of Societies,Registered Societies (Non-Government),343/1999-2000,Available,Available,Society Registration Act 1860,Raebareli,UTTAR PRADESH,25-05-1999,"Agriculture,Children,Differently Abled,Dalit Upliftment,Drinking Water,Education &amp; Literacy,Environment &amp; Forests,Food Processing,Health &amp; Family Welfare,HIV/AIDS,Legal Awareness &amp; Aid,Micro Finance (SHGs),Micro Small &amp; Medium Enterprises,Panchayati Raj,Right to Information &amp; Advocacy,Rural Development &amp; Poverty Alleviation,Sports,Urban Development &amp; Poverty Alleviation,Vocational Training,Water Resources,Women's Development &amp; Empowerment,Youth Affairs",UTTAR PRADESH,"UTTAR PRADESH-&gt;Prayagraj, Etah, Fatehpur, Rae Bareli",Not Available,Not Available,"Ngo working issues are given below
Environmental awareness programme
Education and literacy awareness programme
Health awareness programme
Vocational training programme
Women and child development programme
Women awareness programme
Farmers awareness programme
Legal awareness programme
Nutrition awareness programme
SHG programme
Agriculture awareness programme
Food processing programme etc","Village-Ramchandrapur
Post-Bheelampur
District-Raebareli (U.P.)",Raebareli,UTTAR PRADESH,0000-000000,Not Available,wworcprbl(at)yahoo[dot]com,"{' Vinita Sharma': 'Secretary', ' Rakesh Kumar Tripathi': 'President', ' Sanjay Kumar Srivastava': 'Vice President', ' Siya Devi': 'Treasurer'}","{' Vinita Sharma': 'Available', ' Rakesh Kumar Tripathi': 'Available', ' Sanjay Kumar Srivastava': 'Available', ' Siya Devi': 'Available'}","{' Vinita Sharma': 'Available', ' Rakesh Kumar Tripathi': 'Available', ' Sanjay Kumar Srivastava': 'Available', ' Siya Devi': 'Available'}","{'2014-2015': '25000', '2015-2016': '100000', '2016-2017': '350000', '2017-2018': '1461864'}","{'2014-2015': 'Department  of Forest', '2015-2016': 'Ministry of Aayush', '2016-2017': 'Ministry of Health  UP DG Health', '2017-2018': 'Oil And Natural Gas Corporation LTD'}","{'2014-2015': 'State', '2015-2016': 'Central', '2016-2017': 'Central', '2017-2018': 'Central'}","{'2014-2015': 'Environment awareness program', '2015-2016': 'Yoga Training And awareness', '2016-2017': 'Tobacco Control program', '2017-2018': 'Water Sanitation for pond creation'}",34,5,194,100
WORLD WELFARE SOCIETY,UP/2017/0175445,Registrar of Societies,Registered Societies (Non-Government),729/2001-02,Available,Available,21 OF 1860,SHRAWASTI,UTTAR PRADESH,12-11-2001,"Art &amp; Culture,Children,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,Micro Finance (SHGs),Women's Development &amp; Empowerment",UTTAR PRADESH,"UTTAR PRADESH-&gt;Agra, Prayagraj, Ambedkar Nagar, Amethi, Bahraich, Bara Banki, Bareilly, Basti, Chandauli, Deoria, Faizabad, Gonda, Jaunpur, Kannauj, Kanpur Dehat, Kaushambi, Lucknow, Shrawasti, Sitapur, Sultanpur",Not Available,Not Available,NCLP SHG DEVELOPMENT TRAINING PROGRAMMES MINORITY WOMEN DEVELOPMENT EDUCATION,"VILLAGE TILAKPUR CHAUKI POST VEERPUR KHAIRHANIA, TEHSIL EKAUNA, SHRAWASTI",SHRAWASTI,UTTAR PRADESH,Not Available,Not Available,wws[dot]shrawasti2001(at)gmail.com,"{' MANJU TRIPATHI': 'Treasurer', ' VIRENDRA KUMAR TRIPATHI': 'Secretary', ' RAJDATT TIVARI': 'President'}","{' MANJU TRIPATHI': 'Available', ' VIRENDRA KUMAR TRIPATHI': 'Available', ' RAJDATT TIVARI': 'Available'}","{' MANJU TRIPATHI': 'Available', ' VIRENDRA KUMAR TRIPATHI': 'Available', ' RAJDATT TIVARI': 'Available'}","{'2014-2015': '357750', '2015-2016': '850000', '2016-2017': '715500', '2013-2014': '465600'}","{'2014-2015': 'ministry of minority affairs', '2015-2016': 'BSA', '2016-2017': 'MINISTRY OF MINORITY AFFAIRS', '2013-2014': 'LABOUR'}","{'2014-2015': 'Central', '2015-2016': 'State', '2016-2017': 'Central', '2013-2014': 'State'}","{'2014-2015': 'TO DEVELOPMENT LEADERSHIP IN MINORITY WOMEN', '2015-2016': 'FOOD SUPPLY IN SCHOOLS', '2016-2017': 'TO PROVIDE TRAINING OF LEADERSHIP DEVELOPMENT TO MINORITY WOMEN', '2013-2014': 'TO PROVIDE SCHOOL FACILITY AND TRAINING TO CHILD LABOUR'}",34,6,194,100
WORLD WELFARE TRUST,UP/2020/0268318,Any Other,Trust (Non-Government),2432642251894,Available,Available,INDIAN TRUST ACT  1882,VARANASI,UTTAR PRADESH,30-12-2016,"Animal Husbandry, Dairying  &amp;  Fisheries,Children,Education &amp; Literacy,Aged/Elderly",UTTAR PRADESH,UTTAR PRADESH-&gt;Varanasi,Not Available,Not Available,"ANIMAL HUSBANDRY, DAIRY FARMIN, RELIGIOUS ACTIVITIES, OLD AGE HOME, EDUCATION ACTIVITIES","Village- Kukudha, Pargana Jalhupur, Varanasi ",VARANASI,UTTAR PRADESH,Not Available,Not Available,tiwarishivmurat4(at)gmail[dot]com,"{' SHIVMURAT': 'President', ' USHA TIWARI': 'Trustee', ' SANTOSH TIWARI': 'Trustee'}","{' SHIVMURAT': 'Available', ' USHA TIWARI': 'Available', ' SANTOSH TIWARI': 'Available'}","{' SHIVMURAT': 'Available', ' USHA TIWARI': 'Available', ' SANTOSH TIWARI': 'Available'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Not Specified', '2018-2019': 'Not Specified', '2019-2020': 'Not Specified', '2020-2021': 'Not Specified'}","{'2017-2018': 'Any Other', '2018-2019': 'Any Other', '2019-2020': 'Any Other', '2020-2021': 'Any Other'}","{'2017-2018': 'FUND GENERATED BY MEMBER ITSELF.', '2018-2019': 'FUND GENERATED BY MEMBER ITSELF.', '2019-2020': 'FUND GENERATED BY MEMBER ITSELF.', '2020-2021': 'FUND GENERATED BY MEMBER ITSELF.'}",34,7,194,100
World Youth Social Organization,UP/2019/0229175,Sub-Registrar,Trust (Non-Government),201800955012681,Available,Available,trust act,PADRAUNA,UTTAR PRADESH,16-11-2018,"Agriculture,Animal Husbandry, Dairying  &amp;  Fisheries,Art &amp; Culture,Biotechnology,Children,Civic Issues,Dalit Upliftment,Differently Abled,Disaster Management,Drinking Water,Education &amp; Literacy,Aged/Elderly,Environment &amp; Forests,Food Processing,Health &amp; Family Welfare,HIV/AIDS,Housing,Human Rights,Information &amp; Communication Technology,Labour &amp; Employment,Land Resources,Legal Awareness &amp; Aid,Micro Finance (SHGs),Minority Issues,New &amp; Renewable Energy,Nutrition,Panchayati Raj,Right to Information &amp; Advocacy,Rural Development &amp; Poverty Alleviation,Science &amp; Technology,Scientific &amp; Industrial Research,Sports,Tourism,Tribal Affairs,Urban Development &amp; Poverty Alleviation,Vocational Training,Water Resources,Women's Development &amp; Empowerment,Youth Affairs,Any Other","UTTAR PRADESH, BIHAR, HARYANA, JHARKHAND, UTTAR PRADESH","UTTAR PRADESH-&gt;Mathura, Kanpur Nagar, Kushinagar, Varanasi, BIHAR-&gt;Nalanda, Patna, HARYANA-&gt;Faridabad, JHARKHAND-&gt;Purbi Singhbhum, Pashchimi Singhbhum, UTTAR PRADESH-&gt;Kanpur Dehat",Not Available,Not Available,Not Available,"VILL-DHIRPATTI, POST-SARYA, CITY-PADRAUNA, DIST-KUSHINAGAR, UTTAR PRADESH-274309(INDIA)",PADRAUNA,UTTAR PRADESH,Not Available,http://www.mywyso.org,shashikantmishra66(at)gmail[dot]com,"{' SHASHIKANT MISHRA': 'President', ' PAWAN KUMAR MISHRA': 'Vice President', ' MUKESH GUPTA': 'General Secretary'}","{' SHASHIKANT MISHRA': 'Available', ' PAWAN KUMAR MISHRA': 'Available', ' MUKESH GUPTA': 'Available'}","{' SHASHIKANT MISHRA': 'Available', ' PAWAN KUMAR MISHRA': 'Available', ' MUKESH GUPTA': 'Available'}",{'2018-2019': 'Not Specified'},{'2018-2019': 'Not Specified'},{'2018-2019': 'Any Other'},{'2018-2019': 'we are not get any type of fund or money directly or indirectly from state or central government of india.\n But we are working from the donation of the members or people who attached with our NGO.'},34,8,194,100
Worldnri Social and Cultural Association,UP/2019/0239690,Registrar of Companies,Other Registered Entities (Non-Government),U85300UP2019NPL119568,Available,Available,2013,Varanasi,UTTAR PRADESH,29-07-2019,"Agriculture,Art &amp; Culture,Children,Education &amp; Literacy,Environment &amp; Forests,Health &amp; Family Welfare,HIV/AIDS,Human Rights,Information &amp; Communication Technology,Micro Small &amp; Medium Enterprises,Right to Information &amp; Advocacy,Rural Development &amp; Poverty Alleviation,Tourism,Tribal Affairs,Urban Development &amp; Poverty Alleviation,Vocational Training,Women's Development &amp; Empowerment,Youth Affairs","UTTAR PRADESH, BIHAR, UTTAR PRADESH","UTTAR PRADESH-&gt;Varanasi, BIHAR-&gt;Samastipur, UTTAR PRADESH-&gt;Sonbhadra",Not Available,Not Available,"Go Mata, Geeta Mata, Sanskriti, Shanskar, Sahakar, Sanskrit, social and cultural, educational peace and Human services, child care in need, women Empowerment and skill education for slum and BPL society, tribal welfare. ","SA 15/138-B-1 Mavaiya, Keshwalaya, Kaveermath, Varanasi",Varanasi,UTTAR PRADESH,Not Available,http://worldnriassociation.in/,wnrisca(at)gmail[dot]com,"{' Mala Tiwari': 'Chairman', ' Hariom Tiwari': 'Director', ' Ravi Kumar Tiwari': 'Member'}","{' Mala Tiwari': 'Available', ' Hariom Tiwari': 'Available', ' Ravi Kumar Tiwari': 'Available'}","{' Mala Tiwari': 'Available', ' Hariom Tiwari': 'Available', ' Ravi Kumar Tiwari': 'Available'}",{'2019-2020': 'Not Specified'},{'2019-2020': 'Not Specified'},{'2019-2020': 'Any Other'},{'2019-2020': 'Private efforts.'},34,9,194,100
